,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
202,Kepler-114 c,2.8,1.6,259.533,Kepler-114,507.0,3980.0,0.54,0.06482,0,3
203,Kepler-114 d,3.9,2.53,259.533,Kepler-114,446.0,3980.0,0.54,0.08358,0,3
204,Kepler-1140 b,8.1,2.77,656.48,Kepler-1140,500.0,4973.0,0.768,0.1478,0,1
205,Kepler-1141 b,0.477,0.82,393.642,Kepler-1141,1471.0,5821.0,1.132,0.0345,0,1
206,Kepler-1142 b,2.76,1.47,1273.51,Kepler-1142,902.0,5528.0,1.839,0.1343,0,1
207,Kepler-1143 b,3.43,1.67,555.189,Kepler-1143,976.0,4895.0,0.759,0.0371,0,2
208,Kepler-1143 c,12.6,3.6,555.189,Kepler-1143,234.0,4895.0,0.759,0.6477,0,2
209,Kepler-1144 b,4.62,1.99,1140.57,Kepler-1144,811.0,5559.0,1.412,0.1291,0,1
210,Kepler-1145 b,2.54,1.4,691.961,Kepler-1145,958.0,5178.0,0.778,0.0443,0,1
211,Kepler-1146 b,2.04,1.23,703.038,Kepler-1146,1019.0,4816.0,0.748,0.0325,0,1
212,Kepler-1147 b,7.32,2.61,1657.36,Kepler-1147,872.0,6082.0,1.014,0.0961,0,1
213,Kepler-1148 b,3.5,1.69,625.692,Kepler-1148,1397.0,5002.0,0.753,0.0188,0,1
214,Kepler-1149 b,2.67,1.44,1217.73,Kepler-1149,1128.0,5709.0,0.95,0.0473,0,1
215,Kepler-115 b,1.32,1.09,623.609,Kepler-115,1489.0,5881.0,1.171,0.036,0,2
216,Kepler-115 c,7.27,2.6,623.609,Kepler-115,960.0,5881.0,1.171,0.087,0,2
217,Kepler-1150 b,1.04,1.02,358.518,Kepler-1150,1432.0,4827.0,1.727,0.0382,0,1
218,Kepler-1151 b,5.56,2.22,682.436,Kepler-1151,485.0,5565.0,1.246,0.3197,0,1
219,Kepler-1152 b,0.59,0.87,215.233,Kepler-1152,806.0,3810.0,0.513,0.0223,0,1
220,Kepler-1153 b,3.64,1.73,1119.49,Kepler-1153,1343.0,5569.0,0.829,0.0277,0,1
221,Kepler-1154 b,6.08,2.34,1460.1,Kepler-1154,1314.0,6172.0,1.471,0.0631,0,2
222,Kepler-1154 c,6.17,2.36,1460.1,Kepler-1154,1117.0,6172.0,1.471,0.0875,0,2
223,Kepler-1155 b,4.78,2.03,1128.72,Kepler-1155,609.0,5912.0,1.094,0.2006,0,1
224,Kepler-1156 b,2.3,1.32,691.331,Kepler-1156,787.0,5649.0,0.992,0.0994,0,1
225,Kepler-1157 b,1.32,1.09,342.144,Kepler-1157,732.0,4487.0,0.612,0.0448,0,1
226,Kepler-1158 b,6.08,2.34,1484.25,Kepler-1158,1079.0,6109.0,1.997,0.1246,0,1
227,Kepler-1159 b,6.21,2.37,1213.71,Kepler-1159,677.0,6170.0,0.992,0.1603,0,1
228,Kepler-116 b,11.6,3.42,955.168,Kepler-116,1251.0,6122.0,1.439,0.069,0,2
229,Kepler-116 c,5.9,2.3,955.168,Kepler-116,964.0,6122.0,1.439,0.116,0,2
230,Kepler-1160 b,5.22,2.14,1077.63,Kepler-1160,839.0,5774.0,0.818,0.0755,0,1
231,Kepler-1161 b,5.18,2.13,547.726,Kepler-1161,485.0,4175.0,0.544,0.0784,0,1
232,Kepler-1162 b,5.52,2.21,940.211,Kepler-1162,490.0,5225.0,0.859,0.19,0,1
233,Kepler-1163 b,1.08,1.03,478.647,Kepler-1163,1211.0,6226.0,1.333,0.0685,0,1
234,Kepler-1164 b,1.46,1.12,431.622,Kepler-1164,936.0,5143.0,0.778,0.0457,0,1
235,Kepler-1165 b,3.02,1.55,1575.2,Kepler-1165,946.0,6249.0,1.076,0.0914,0,2
236,Kepler-1165 c,11.2,3.361,1575.2,Kepler-1165,644.0,6249.0,1.076,0.1969,0,2
237,Kepler-1166 b,3.5,1.69,634.906,Kepler-1166,486.0,5382.0,0.827,0.1975,0,1
238,Kepler-1167 b,3.57,1.71,820.905,Kepler-1167,1419.0,4949.0,0.741,0.0175,0,1
239,Kepler-1168 b,6.8,2.5,752.666,Kepler-1168,379.0,5162.0,0.736,0.2663,0,1
240,Kepler-1169 b,0.779,0.94,522.823,Kepler-1169,1125.0,6213.0,1.195,0.0709,0,1
241,Kepler-117 b,29.875,8.059,1455.57,Kepler-117,852.0,6163.0,1.406,0.1445,0,2
242,Kepler-117 c,584.78,12.341,1455.57,Kepler-117,612.0,6163.0,1.406,0.2804,0,2
243,Kepler-1170 b,6.39,2.41,1050.45,Kepler-1170,705.0,5265.0,0.81,0.088,0,1
244,Kepler-1171 b,7.08,2.56,573.0,Kepler-1171,2700.0,7216.0,2.043,0.0284,0,1
245,Kepler-1172 b,10.3,3.2,1306.53,Kepler-1172,675.0,5624.0,1.244,0.168,0,1
